FIFO,30,294051,148540,148540
Optimal,30,250772,136391,136391
ARB,30,294022,153603,148536
LIFO,30,292731,146407,146407
NRA,30,292899,146627,146627
FIFO,60,286348,146569,146569
Optimal,60,224068,127919,127919
ARB,60,286287,151775,146577
LIFO,60,285248,142638,142638
NRA,60,285525,143082,143082
FIFO,90,278780,144590,144590
Optimal,90,204208,121069,121069
ARB,90,278674,149946,144643
LIFO,90,277682,138848,138848
NRA,90,278175,139558,139558
FIFO,120,271190,142582,142582
Optimal,120,187915,115032,115032
ARB,120,271057,148119,142704
LIFO,120,270165,135063,135063
NRA,120,270648,135937,135937
FIFO,150,263644,140554,140554
Optimal,150,173947,109516,109516
ARB,150,263508,146309,140779
LIFO,150,262520,131224,131224
NRA,150,263116,132325,132325
FIFO,30,103526,69794,69794
Optimal,30,50206.9,39307.8,39307.8
ARB,30,110744,83904.2,76300.4
LIFO,30,277330,141605,141605
NRA,30,247300,129066,129066
FIFO,60,33619.8,28419.7,28419.7
Optimal,60,15864.6,14459.5,14459.5
ARB,60,60931.5,57223.4,48944
LIFO,60,268993,137376,137376
NRA,60,215568,115228,115228
FIFO,90,9745.77,9532.6,9532.6
Optimal,90,7899.2,7770.07,7770.07
ARB,90,56216.5,53757.8,45365.7
LIFO,90,260569,133089,133089
NRA,90,189875,103688,103688
FIFO,120,8130.4,8008.7,8008.7
Optimal,120,6768.4,6646.27,6646.27
ARB,120,54666.4,52530.6,44096.7
LIFO,120,252711,129094,129094
NRA,120,168227,93722.2,93722.2
FIFO,150,7921.5,7770,7770
Optimal,150,6123,5971.4,5971.4
ARB,150,53160.5,51339,42865.1
LIFO,150,244847,125068,125068
NRA,150,149441,84834.1,84834.1
FIFO,30,238677,133506,133506
Optimal,30,140433,92738.9,92738.9
ARB,30,239254,139657,134011
LIFO,30,237720,119329,119329
NRA,30,237918,120507,120507
FIFO,60,182533,115512,115512
Optimal,60,83390.8,60300.3,60300.3
ARB,60,186904,126244,119581
LIFO,60,178343,89591.9,89591.9
NRA,60,178075,91486,91486
FIFO,90,132509,95290.8,95290.8
Optimal,90,48511.9,36177.3,36177.3
ARB,90,140799,106272,99833
LIFO,90,121907,61341,61341
NRA,90,122875,64388.5,64388.5
FIFO,120,90042.7,72605.5,72605.5
Optimal,120,26018.1,19223.7,19223.7
ARB,120,95685.1,75010.5,67423
LIFO,120,73109.8,36845.5,36845.5
NRA,120,74921,40372.8,40372.8
FIFO,150,56117.5,49012.1,49012.1
Optimal,150,12371.3,8870.93,8870.93
ARB,150,57799.2,49002,40435.5
LIFO,150,35577.8,17948.7,17948.7
NRA,150,37384.1,20799.1,20799.1
